Realm	Subrealm	Kingdom	Phylum	Subphylum	Class	Subclass	Order	Suborder	Family	Subfamily	Genus	Subgenus	Species	ICTV_ID
Floreoviria		Shotokuvirae	Cressdnaviricota		Arfiviricetes		Lineavirales		Oomyviridae		Nicoomyvirus		Nicoomyvirus moegelae	ICTV202420153
Floreoviria		Shotokuvirae	Cressdnaviricota		Arfiviricetes		Lineavirales		Oomyviridae		Nicoomyvirus		Nicoomyvirus mohonsis	ICTV202420148
Floreoviria		Shotokuvirae	Cressdnaviricota		Arfiviricetes		Lineavirales		Oomyviridae		Nicoomyvirus		Nicoomyvirus moisissurensis	ICTV202420150
Floreoviria		Shotokuvirae	Cressdnaviricota		Arfiviricetes		Lineavirales		Oomyviridae		Nicoomyvirus		Nicoomyvirus moldensis	ICTV202420144
Floreoviria		Shotokuvirae	Cressdnaviricota		Arfiviricetes		Lineavirales		Oomyviridae		Nicoomyvirus		Nicoomyvirus muffae	ICTV202420145
Floreoviria		Shotokuvirae	Cressdnaviricota		Arfiviricetes		Lineavirales		Oomyviridae		Nicoomyvirus		Nicoomyvirus peneszensis	ICTV202420146
Floreoviria		Shotokuvirae	Cressdnaviricota		Arfiviricetes		Lineavirales		Oomyviridae		Nicoomyvirus		Nicoomyvirus plesenae	ICTV202420154
Floreoviria		Shotokuvirae	Cressdnaviricota		Arfiviricetes		Lineavirales		Oomyviridae		Nicoomyvirus		Nicoomyvirus schimmelae	ICTV202420149
Floreoviria		Shotokuvirae	Cressdnaviricota		Arfiviricetes		Lineavirales		Oomyviridae		Nicoomyvirus		Nicoomyvirus simensis	ICTV202420155
Floreoviria		Shotokuvirae	Cressdnaviricota		Arfiviricetes		Lineavirales		Oomyviridae		Nicoomyvirus		Nicoomyvirus svampae	ICTV202420147
Duplodnaviria		Heunggongvirae	Uroviricota		Caudoviricetes				Mtkvariviridae	Gordonclarkvirinae	Nieuwekanaalvirus		Nieuwekanaalvirus EP335	ICTV202214599
Duplodnaviria		Heunggongvirae	Uroviricota		Caudoviricetes				Mtkvariviridae	Gordonclarkvirinae	Nieuwekanaalvirus		Nieuwekanaalvirus KBNP1711	ICTV20150335
Riboviria		Orthornavirae	Negarnaviricota	Haploviricotina	Monjiviricetes		Jingchuvirales		Chuviridae		Nigecruvirus		Nigecruvirus ixodes	ICTV202009728
Riboviria		Orthornavirae	Negarnaviricota	Haploviricotina	Monjiviricetes		Jingchuvirales		Chuviridae		Nigecruvirus		Nigecruvirus periplanetae	ICTV202214137
Riboviria		Orthornavirae	Lenarviricota		Leviviricetes		Norzivirales		Atkinsviridae		Niginuvirus		Niginuvirus limadaptatum	ICTV202010788
Efunaviria		Loebvirae	Hofneiviricota		Faserviricetes		Tubulavirales		Inoviridae		Nigolovirus		Nigolovirus 219	ICTV202521976
Duplodnaviria		Heunggongvirae	Uroviricota		Caudoviricetes		Pantevenvirales		Kyanoviridae		Nilusvirus		Nilusvirus ssm2	ICTV202113978
Riboviria		Orthornavirae	Pisuviricota		Pisoniviricetes		Nidovirales	Ronidovirineae	Roniviridae	Okanivirinae	Nimanivirus	Marovirus	Nimanivirus lahi	ICTV202113943
Duplodnaviria		Heunggongvirae	Uroviricota		Caudoviricetes				Chimalliviridae		Nimduovirus		Nimduovirus N1M2	ICTV202214694
Floreoviria		Shotokuvirae	Cressdnaviricota		Arfiviricetes		Rohanvirales		Adamaviridae		Nimlovirus		Nimlovirus annon	ICTV202318530
Floreoviria		Shotokuvirae	Cressdnaviricota		Arfiviricetes		Rivendellvirales		Naryaviridae		Nimphelosvirus		Nimphelosvirus arnor	ICTV202113290
